SCHOOL_YEAR,SCH_NAME,LEA_NAME,STATE,ST,MCITY,MSTATE,NCESSCH,SCHID,LAT,LON,LOCALE
2023-2024,Albertville High School,Albertville City,ALABAMA,AL,Albertville,AL,010000500871,0100871,34.2622,-86.2049,32
2023-2024,Douglas High School,Marshall County,ALABAMA,AL,Douglas,AL,010000600878,0100878,34.178658,-86.319462,42
2023-2024,Kate D Smith DAR High School,Marshall County,ALABAMA,AL,Grant,AL,010000600883,0100883,34.53375,-86.254153,42
2023-2024,Marshall Technical School,Marshall County,ALABAMA,AL,Guntersville,AL,010000600987,0100987,34.3054,-86.2859,41
2023-2024,Hoover High School,Hoover City,ALABAMA,AL,Hoover,AL,010000700251,0100251,33.3444,-86.8377,21
2023-2024,Spain Park High School,Hoover City,ALABAMA,AL,Hoover,AL,010000701456,0101456,33.3927,-86.7288,21
2023-2024,Riverchase Career Connection Center,Hoover City,ALABAMA,AL,Hoover,AL,010000702487,0102487,33.34668,-86.80969,21
2023-2024,Bob Jones High School,Madison City,ALABAMA,AL,Madison,AL,010000800831,0100831,34.7192,-86.7425,21
2023-2024,James Clemens High School,Madison City,ALABAMA,AL,Madison,AL,010000802198,0102198,34.705886,-86.791802,21
2023-2024,Leeds High School,Leeds City,ALABAMA,AL,Leeds,AL,010001102096,0102096,33.547574,-86.574182,21
2023-2024,Boaz High School,Boaz City,ALABAMA,AL,Boaz,AL,010001200874,0100874,34.2118,-86.1639,32
2023-2024,HewittTrussville High School,Trussville City,ALABAMA,AL,Trussville,AL,010001301682,0101682,33.665684,-86.590765,41
2023-2024,Benjamin Russell High School,Alexander City,ALABAMA,AL,Alexander City,AL,010003000003,0100003,32.9377,-85.9508,32
2023-2024,Andalusia High School,Andalusia City,ALABAMA,AL,Andalusia,AL,010006000007,0100007,31.3154,-86.4708,33
2023-2024,Anniston High School,Anniston City,ALABAMA,AL,Anniston,AL,010009000011,0100011,33.6612,-85.82,13
2023-2024,Arab High School,Arab City,ALABAMA,AL,Arab,AL,010010000028,0100028,34.329247,-86.48857,32
2023-2024,Athens High School,Athens City,ALABAMA,AL,Athens,AL,010012001472,0101472,34.812486,-86.949822,31
2023-2024,Etowah High School,Attalla City,ALABAMA,AL,Attalla,AL,010018000033,0100033,33.996,-86.1109,23
2023-2024,Saraland High School,Saraland City,ALABAMA,AL,Saraland,AL,010018502137,0102137,30.796015,-88.100153,21
2023-2024,Chickasaw City High School,Chickasaw City,ALABAMA,AL,Chickasaw,AL,010018802194,0102194,30.757103,-88.078474,21
2023-2024,Thompson High School,Alabaster City,ALABAMA,AL,Alabaster,AL,010019001183,0101183,33.222102,-86.845962,21
2023-2024,Pelham High School,Pelham City,ALABAMA,AL,Pelham,AL,010019402399,0102399,33.312895,-86.82121,21
2023-2024,Pike Road High School,Pike Road City,ALABAMA,AL,Pike Road,AL,010019502441,0102441,32.355003,-86.102682,21
2023-2024,Acceleration Day and Evening Academy,MAEF Public Charter Schools,ALABAMA,AL,MOBILE,AL,010019702432,0102432,30.672421,-88.138607,12
2023-2024,Gulf Shores High School,Gulf Shores City,ALABAMA,AL,Gulf Shores,AL,010020202473,0102473,30.269146,-87.675805,41
2023-2024,Auburn High School,Auburn City,ALABAMA,AL,Auburn,AL,010021000036,0100036,32.603878,-85.446081,13
2023-2024,Marbury High School,Autauga County,ALABAMA,AL,Deatsville,AL,010024000046,0100046,32.619027,-86.481999,42
2023-2024,Prattville High School,Autauga County,ALABAMA,AL,Prattville,AL,010024000048,0100048,32.5005,-86.4716,41
2023-2024,Autauga County Technology Center,Autauga County,ALABAMA,AL,Prattville,AL,010024000590,0100590,32.500629,-86.473537,41
2023-2024,Louise M Smith Development Center,Autauga County,ALABAMA,AL,Prattville,AL,010024001550,0101550,32.448195,-86.421643,21
2023-2024,Robertsdale High School,Baldwin County,ALABAMA,AL,Robertsdale,AL,010027000024,0100024,30.540413,-87.706485,31
2023-2024,Elberta High School,Baldwin County,ALABAMA,AL,Elberta,AL,010027000057,0100057,30.4198,-87.5998,31
2023-2024,Fairhope High School,Baldwin County,ALABAMA,AL,Fairhope,AL,010027000100,0100100,30.498068,-87.8836,13
2023-2024,North Baldwin Center For Technology,Baldwin County,ALABAMA,AL,Bay Minette,AL,010027000664,0100664,30.8656,-87.7837,32
2023-2024,South Baldwin Center For Technology,Baldwin County,ALABAMA,AL,Robertsdale,AL,010027000665,0100665,30.5495,-87.6962,31
2023-2024,Daphne High School,Baldwin County,ALABAMA,AL,Daphne,AL,010027001759,0101759,30.6388,-87.8641,13
2023-2024,Foley High School,Baldwin County,ALABAMA,AL,Foley,AL,010027001784,0101784,30.3817,-87.6893,31
2023-2024,Baldwin County High School,Baldwin County,ALABAMA,AL,Bay Minette,AL,010027001810,0101810,30.8937,-87.794,32
2023-2024,Spanish Fort High School,Baldwin County,ALABAMA,AL,Spanish Fort,AL,010027002073,0102073,30.6887,-87.8541,41
2023-2024,Bessemer City High School,Bessemer City,ALABAMA,AL,Bessemer,AL,010033000087,0100087,33.370885,-86.999217,21
2023-2024,Bessemer Center For Technology,Bessemer City,ALABAMA,AL,Bessemer,AL,010033001267,0101267,33.370885,-86.999217,21
2023-2024,Bibb County High School,Bibb County,ALABAMA,AL,Centreville,AL,010036000092,0100092,32.9472,-87.1426,42
2023-2024,West Blocton High School,Bibb County,ALABAMA,AL,West Blocton,AL,010036000099,0100099,33.1131,-87.1284,42
2023-2024,Bibb County Career Academy,Bibb County,ALABAMA,AL,West Blocton,AL,010036000669,0100669,33.0518,-87.136,42
2023-2024,Parker High School,Birmingham City,ALABAMA,AL,Birmingham,AL,010039000165,0100165,33.514596,-86.829301,12
2023-2024,Ramsay High School,Birmingham City,ALABAMA,AL,Birmingham,AL,010039000176,0100176,33.4976,-86.7986,12
2023-2024,Wenonah High School,Birmingham City,ALABAMA,AL,Birmingham,AL,010039000192,0100192,33.45457,-86.884829,12
2023-2024,Woodlawn High SchoolMagnet,Birmingham City,ALABAMA,AL,Birmingham,AL,010039000198,0100198,33.5422,-86.7521,12
2023-2024,Dupuy Alternative School,Birmingham City,ALABAMA,AL,Birmingham,AL,010039001288,0101288,33.547981,-86.769366,12
2023-2024,George Washington Carver High School,Birmingham City,ALABAMA,AL,Birmingham,AL,010039001468,0101468,33.5584,-86.828,12
2023-2024,Blount County Career Technical Center,Blount County,ALABAMA,AL,Cleveland,AL,010042000682,0100682,33.991488,-86.561712,42
2023-2024,TR Miller High School,Brewton City,ALABAMA,AL,Brewton,AL,010045000216,0100216,31.1382,-87.0704,32
2023-2024,Bullock County High School,Bullock County,ALABAMA,AL,Union Springs,AL,010048000218,0100218,32.129773,-85.722772,42
2023-2024,Greenville High School,Butler County,ALABAMA,AL,Greenville,AL,010051000226,0100226,31.837042,-86.65194,32
2023-2024,Butler County Area Vocational School,Butler County,ALABAMA,AL,Greenville,AL,010051000690,0100690,31.837042,-86.65194,32
2023-2024,Alexandria High School,Calhoun County,ALABAMA,AL,Alexandria,AL,010054000232,0100232,33.775146,-85.887066,41
2023-2024,White Plains High School,Calhoun County,ALABAMA,AL,Anniston,AL,010054000250,0100250,33.747043,-85.686986,41
2023-2024,Calhoun County Career Technical Center,Calhoun County,ALABAMA,AL,Jacksonville,AL,010054000708,0100708,33.801672,-85.757907,23
2023-2024,Lafayette High School,Chambers County,ALABAMA,AL,Lafayette,AL,010060000263,0100263,32.8994,-85.3965,42
2023-2024,Valley High School,Chambers County,ALABAMA,AL,Valley,AL,010060000271,0100271,32.8022,-85.1815,32
2023-2024,Inspire Academy,Chambers County,ALABAMA,AL,Lafayette,AL,010060000738,0100738,32.890312,-85.381482,42
2023-2024,Cherokee County High School,Cherokee County,ALABAMA,AL,Centre,AL,010063000278,0100278,34.1638,-85.6587,42
2023-2024,Jemison High School,Chilton County,ALABAMA,AL,Jemison,AL,010066000262,0100262,32.9655,-86.7483,42
2023-2024,W A Lecroy Career  Technical Center,Chilton County,ALABAMA,AL,Clanton,AL,010066000748,0100748,32.8321,-86.6736,41
2023-2024,Chilton County High School,Chilton County,ALABAMA,AL,Clanton,AL,010066001491,0101491,32.8219,-86.6127,32
2023-2024,Clarke County High School,Clarke County,ALABAMA,AL,Grove Hill,AL,010072000298,0100298,31.705821,-87.77412,43
2023-2024,Jackson High School,Clarke County,ALABAMA,AL,Jackson,AL,010072001493,0101493,31.5482,-87.8851,43
2023-2024,Central High School of Clay County,Clay County,ALABAMA,AL,Lineville,AL,010075002210,0102210,33.290823,-85.787937,42
2023-2024,New Brockton High School,Coffee County,ALABAMA,AL,New Brockton,AL,010081001494,0101494,31.380382,-85.935457,42
2023-2024,Hillcrest High School,Conecuh County,ALABAMA,AL,Evergreen,AL,010087001766,0101766,31.431297,-86.937172,43
2023-2024,Conecuh County Area Vocational Center,Conecuh County,ALABAMA,AL,Evergreen,AL,010087002519,0102519,31.433284,-86.94062,43
2023-2024,Straughn High School,Covington County,ALABAMA,AL,Andalusia,AL,010093000363,0100363,31.3906,-86.4157,42
2023-2024,Cullman High School,Cullman City,ALABAMA,AL,Cullman,AL,010099000370,0100370,34.1885,-86.8418,32
2023-2024,Cold Springs High School,Cullman County,ALABAMA,AL,Bremen,AL,010102000374,0100374,33.982384,-87.032348,42
2023-2024,Fairview High School,Cullman County,ALABAMA,AL,Cullman,AL,010102000377,0100377,34.255046,-86.687902,42
2023-2024,Good Hope High School,Cullman County,ALABAMA,AL,Cullman,AL,010102000379,0100379,34.1035,-86.8797,41
2023-2024,Hanceville High School,Cullman County,ALABAMA,AL,Hanceville,AL,010102000380,0100380,34.0612,-86.7608,42
2023-2024,Holly Pond High School,Cullman County,ALABAMA,AL,Holly Pond,AL,010102000381,0100381,34.1769,-86.619,42
2023-2024,Vinemont High School,Cullman County,ALABAMA,AL,Vinemont,AL,010102000385,0100385,34.244071,-86.864278,32
2023-2024,West Point High School,Cullman County,ALABAMA,AL,Cullman,AL,010102000387,0100387,34.2373,-86.9633,42
2023-2024,Cullman Area Technology Academy,Cullman County,ALABAMA,AL,Cullman,AL,010102000803,0100803,34.2227,-86.8569,32
2023-2024,Dale County High School,Dale County,ALABAMA,AL,Midland City,AL,010105000389,0100389,31.320654,-85.504214,41
2023-2024,Bridge Academy,Dale County,ALABAMA,AL,Ozark,AL,010105002546,0102546,31.425051,-85.616218,32
2023-2024,Daleville High School,Daleville City,ALABAMA,AL,Daleville,AL,010108000394,0100394,31.316204,-85.709728,32
2023-2024,Dallas County High School,Dallas County,ALABAMA,AL,Plantersville,AL,010111000397,0100397,32.661814,-86.929631,43
2023-2024,Southside High School,Dallas County,ALABAMA,AL,Selma,AL,010111000406,0100406,32.327267,-86.928401,42
2023-2024,Dekalb Technical Center,DeKalb County,ALABAMA,AL,Rainsville,AL,010114000832,0100832,34.49173,-85.8406,42
2023-2024,Crossville High School,DeKalb County,ALABAMA,AL,Crossville,AL,010114001860,0101860,34.290223,-85.996301,42
2023-2024,Austin High School,Decatur City,ALABAMA,AL,Decatur,AL,010117000426,0100426,34.563684,-87.049556,13
2023-2024,Decatur High School,Decatur City,ALABAMA,AL,Decatur,AL,010117000429,0100429,34.593282,-86.97216,13
2023-2024,Decatur High Developmental,Decatur City,ALABAMA,AL,Decatur,AL,010117002175,0102175,34.593282,-86.97216,13
2023-2024,Career Technical Center,Decatur City,ALABAMA,AL,Decatur,AL,010117002457,0102457,34.57954,-87.007634,13
2023-2024,Demopolis High School,Demopolis City,ALABAMA,AL,Demopolis,AL,010120000148,0100148,32.494584,-87.845732,41
2023-2024,Dothan Technology Center,Dothan City,ALABAMA,AL,Dothan,AL,010123001349,0101349,31.2665,-85.3811,41
2023-2024,Dothan High School,Dothan City,ALABAMA,AL,Dothan,AL,010123001501,0101501,31.2676,-85.3814,41
2023-2024,Elmore County High School,Elmore County,ALABAMA,AL,Eclectic,AL,010129000463,0100463,32.6338,-86.0296,42
2023-2024,Holtville High School,Elmore County,ALABAMA,AL,Deatsville,AL,010129000465,0100465,32.6356,-86.3261,42
2023-2024,Stanhope Elmore High School,Elmore County,ALABAMA,AL,Millbrook,AL,010129000468,0100468,32.4942,-86.3624,21
2023-2024,Wetumpka High School,Elmore County,ALABAMA,AL,Wetumpka,AL,010129000471,0100471,32.5525,-86.2225,31
2023-2024,Elmore County Technical Center,Elmore County,ALABAMA,AL,Wetumpka,AL,010129000834,0100834,32.5504,-86.2156,31
2023-2024,Enterprise High School,Enterprise City,ALABAMA,AL,Enterprise,AL,010132000476,0100476,31.328129,-85.869911,32
2023-2024,Enterprise Career and Technology Center,Enterprise City,ALABAMA,AL,Enterprise,AL,010132002455,0102455,31.3098,-85.8602,32
2023-2024,Escambia County High School,Escambia County,ALABAMA,AL,Atmore,AL,010135000484,0100484,31.0065,-87.4866,32
2023-2024,W S Neal High School,Escambia County,ALABAMA,AL,East Brewton,AL,010135000492,0100492,31.09011,-87.05455,32
2023-2024,EscambiaBrewton Career Technical Center,Escambia County,ALABAMA,AL,Brewton,AL,010135000841,0100841,31.1133,-87.0958,41
2023-2024,Glencoe High School,Etowah County,ALABAMA,AL,Glencoe,AL,010138000498,0100498,33.9677,-85.9353,23
2023-2024,Sardis High School,Etowah County,ALABAMA,AL,Sardis City,AL,010138000505,0100505,34.1763,-86.1229,32
2023-2024,Southside High School,Etowah County,ALABAMA,AL,Southside,AL,010138000506,0100506,33.920376,-86.033827,23
2023-2024,Career Technical Center,Etowah County,ALABAMA,AL,Attalla,AL,010138000853,0100853,33.9963,-86.1049,23
2023-2024,Hokes Bluff High School,Etowah County,ALABAMA,AL,Hokes Bluff,AL,010138001662,0101662,34.013,-85.8694,41
2023-2024,Eufaula High School,Eufaula City,ALABAMA,AL,Eufaula,AL,010141000511,0100511,31.919296,-85.139098,41
2023-2024,Fairfield High Preparatory School,Fairfield City,ALABAMA,AL,Fairfield,AL,010144000516,0100516,33.491187,-86.908318,21
2023-2024,Fairfield Area Vocational School,Fairfield City,ALABAMA,AL,Fairfield,AL,010144001363,0101363,33.491187,-86.908318,21
2023-2024,Fayette County High School,Fayette County,ALABAMA,AL,Fayette,AL,010147001787,0101787,33.7031,-87.8218,43
2023-2024,Florence High School,Florence City,ALABAMA,AL,Florence,AL,010153000528,0100528,34.8345,-87.6633,13
2023-2024,Fort Payne High School,Fort Payne City,ALABAMA,AL,Fort Payne,AL,010156000538,0100538,34.487696,-85.674157,32
2023-2024,Franklin County Career Technical Center,Franklin County,ALABAMA,AL,Russellville,AL,010159000860,0100860,34.475756,-87.864784,42
2023-2024,Gadsden City High School,Gadsden City,ALABAMA,AL,Gadsden,AL,010162001824,0101824,33.995108,-86.037233,13
2023-2024,Geneva High School,Geneva City,ALABAMA,AL,Geneva,AL,010164000567,0100567,31.0439,-85.8813,42
2023-2024,Geneva County High School,Geneva County,ALABAMA,AL,Hartford,AL,010166000570,0100570,31.095832,-85.700153,42
2023-2024,Samson High School,Geneva County,ALABAMA,AL,Samson,AL,010166000571,0100571,31.117792,-86.049316,43
2023-2024,Slocomb High School,Geneva County,ALABAMA,AL,Slocomb,AL,010166001519,0101519,31.098483,-85.601606,42
2023-2024,Geneva Regional Career Technical Center,Geneva County,ALABAMA,AL,Geneva,AL,010166002418,0102418,31.048206,-85.89415,42
2023-2024,Greene County High School,Greene County,ALABAMA,AL,Eutaw,AL,010168000576,0100576,32.823597,-87.931421,42
2023-2024,Peter J Kirksey Career Center,Greene County,ALABAMA,AL,Eutaw,AL,010168000864,0100864,32.8464,-87.9187,42
2023-2024,Greene County Career Center,Greene County,ALABAMA,AL,Eutaw,AL,010168002181,0102181,32.82487,-87.93291,42
2023-2024,Guntersville High School,Guntersville City,ALABAMA,AL,Guntersville,AL,010169000582,0100582,34.32,-86.3136,32
2023-2024,Hale County High School,Hale County,ALABAMA,AL,Moundville,AL,010171000588,0100588,32.99897,-87.62055,41
2023-2024,College and Career Academy,Hale County,ALABAMA,AL,Greensboro,AL,010171000875,0100875,32.722732,-87.592676,42
2023-2024,Greensboro High School,Hale County,ALABAMA,AL,Greensboro,AL,010171002162,0102162,32.70837,-87.588282,42
2023-2024,Haleyville High School,Haleyville City,ALABAMA,AL,Haleyville,AL,010172000594,0100594,34.2253,-87.6069,43
2023-2024,Hartselle High School,Hartselle City,ALABAMA,AL,Hartselle,AL,010173000599,0100599,34.455413,-86.921392,41
2023-2024,Headland High School,Henry County,ALABAMA,AL,Headland,AL,010174000604,0100604,31.3485,-85.3397,42
2023-2024,Homewood High School,Homewood City,ALABAMA,AL,Homewood,AL,010176000608,0100608,33.4605,-86.7905,21
2023-2024,Ashford High School,Houston County,ALABAMA,AL,Ashford,AL,010177000611,0100611,31.183743,-85.23222,42
2023-2024,Rehobeth High School,Houston County,ALABAMA,AL,Dothan,AL,010177000615,0100615,31.1209,-85.4593,41
2023-2024,Houston County Area Vocational Center,Houston County,ALABAMA,AL,Dothan,AL,010177000885,0100885,31.22592,-85.400933,13
2023-2024,Virgil Grissom High School,Huntsville City,ALABAMA,AL,Huntsville,AL,010180000629,0100629,34.642713,-86.576568,12
2023-2024,Huntsville High School,Huntsville City,ALABAMA,AL,Huntsville,AL,010180000631,0100631,34.7135,-86.5835,12
2023-2024,Lee High School,Huntsville City,ALABAMA,AL,Huntsville,AL,010180000636,0100636,34.754963,-86.578303,12
2023-2024,New Century Technology High School,Huntsville City,ALABAMA,AL,Huntsville,AL,010180001374,0101374,34.754963,-86.578303,12
2023-2024,Huntsville Center For Technology,Huntsville City,ALABAMA,AL,Huntsville,AL,010180001379,0101379,34.703326,-86.602294,12
2023-2024,Columbia High School,Huntsville City,ALABAMA,AL,Huntsville,AL,010180001651,0101651,34.7232,-86.6993,12
2023-2024,Jemison High School,Huntsville City,ALABAMA,AL,Huntsville,AL,010180002419,0102419,34.786091,-86.614954,12
2023-2024,Kevin Dukes Career  Innovation Academy,Jackson County,ALABAMA,AL,Hollywood,AL,010183000908,0100908,34.720918,-85.952328,42
2023-2024,North Jackson High School,Jackson County,ALABAMA,AL,Stevenson,AL,010183001751,0101751,34.899385,-85.790145,42
2023-2024,Jasper High School,Jasper City,ALABAMA,AL,Jasper,AL,010189000678,0100678,33.834314,-87.257794,32
2023-2024,ClayChalkville High School,Jefferson County,ALABAMA,AL,Pinson,AL,010192000469,0100469,33.6954,-86.6023,21
2023-2024,Corner High School,Jefferson County,ALABAMA,AL,Dora,AL,010192000698,0100698,33.761592,-86.967166,42
2023-2024,Center Point High School,Jefferson County,ALABAMA,AL,Center Point,AL,010192000702,0100702,33.658482,-86.699674,21
2023-2024,Gardendale High School,Jefferson County,ALABAMA,AL,Gardendale,AL,010192000706,0100706,33.647276,-86.812093,21
2023-2024,Hueytown High School,Jefferson County,ALABAMA,AL,Hueytown,AL,010192000717,0100717,33.430701,-87.034282,41
2023-2024,McAdory High School,Jefferson County,ALABAMA,AL,McCalla,AL,010192000725,0100725,33.3308,-87.0011,21
2023-2024,Mortimer Jordan High School,Jefferson County,ALABAMA,AL,Kimberly,AL,010192000728,0100728,33.786302,-86.766115,42
2023-2024,Pinson Valley High School,Jefferson County,ALABAMA,AL,Pinson,AL,010192000734,0100734,33.703553,-86.669316,21
2023-2024,Shades Valley High School,Jefferson County,ALABAMA,AL,Irondale,AL,010192000744,0100744,33.5418,-86.6674,21
2023-2024,Minor High School,Jefferson County,ALABAMA,AL,Adamsville,AL,010192001752,0101752,33.5764,-86.9276,21
2023-2024,Lamar County School Of Technology,Lamar County,ALABAMA,AL,Vernon,AL,010195000941,0100941,33.7457,-88.1097,43
2023-2024,Lanett Senior High School,Lanett City,ALABAMA,AL,Lanett,AL,010198000759,0100759,32.8566,-85.1971,32
2023-2024,Allen Thornton Career Technical Center,Lauderdale County,ALABAMA,AL,Killen,AL,010201000762,0100762,34.8606,-87.4426,42
2023-2024,Lawrence County High School,Lawrence County,ALABAMA,AL,Moulton,AL,010204000783,0100783,34.475617,-87.298443,42
2023-2024,Lawrence County Career Technical Center,Lawrence County,ALABAMA,AL,Moulton,AL,010204000958,0100958,34.4767,-87.2967,42
2023-2024,East Lawrence High School,Lawrence County,ALABAMA,AL,Trinity,AL,010204001546,0101546,34.56667,-87.173644,41
2023-2024,Lawrence County Developmental,Lawrence County,ALABAMA,AL,Trinity,AL,010204002211,0102211,34.56667,-87.173644,41
2023-2024,Beauregard High School,Lee County,ALABAMA,AL,Opelika,AL,010207000790,0100790,32.5496,-85.3727,41
2023-2024,Smiths Station High School,Lee County,ALABAMA,AL,Smiths Station,AL,010207000795,0100795,32.521416,-85.080214,21
2023-2024,Limestone County Area Vocational Technology,Limestone County,ALABAMA,AL,Athens,AL,010210000959,0100959,34.7768,-86.9621,31
2023-2024,Linden High School,Linden City,ALABAMA,AL,Linden,AL,010213000813,0100813,32.309751,-87.797303,43
2023-2024,Calhoun High School,Lowndes County,ALABAMA,AL,Letohatchee,AL,010216000815,0100815,32.058426,-86.55146,42
2023-2024,Central High School,Lowndes County,ALABAMA,AL,Hayneville,AL,010216000817,0100817,32.152554,-86.681471,42
2023-2024,Lowndes County Career Technical Center,Lowndes County,ALABAMA,AL,Hayneville,AL,010216000974,0100974,32.153319,-86.680962,42
2023-2024,Booker T Washington High,Macon County,ALABAMA,AL,Tuskegee,AL,010219001811,0101811,32.4006,-85.7336,41
2023-2024,Macon County Area Vocational School,Macon County,ALABAMA,AL,Tuskegee Institute,AL,010219002353,0102353,32.430517,-85.719542,32
2023-2024,Madison County High School,Madison County,ALABAMA,AL,Gurley,AL,010222000556,0100556,34.7376,-86.432,41
2023-2024,Hazel Green High School,Madison County,ALABAMA,AL,Hazel Green,AL,010222000836,0100836,34.9376,-86.5699,41
2023-2024,Sparkman High School,Madison County,ALABAMA,AL,Harvest,AL,010222000848,0100848,34.8343,-86.7156,21
2023-2024,Madison County Career Technical Center,Madison County,ALABAMA,AL,Huntsville,AL,010222000984,0100984,34.785501,-86.521407,21
2023-2024,Buckhorn High School,Madison County,ALABAMA,AL,New Market,AL,010222001683,0101683,34.8703,-86.4553,41
2023-2024,Hamilton High School,Marion County,ALABAMA,AL,Hamilton,AL,010231000868,0100868,34.1395,-87.9905,43
2023-2024,Midfield High School,Midfield City,ALABAMA,AL,Midfield,AL,010235000891,0100891,33.450742,-86.915913,21
2023-2024,Midfield Area Vocational Department,Midfield City,ALABAMA,AL,Birmingham,AL,010235001381,0101381,33.450742,-86.915913,21
2023-2024,Ben C Rain High School,Mobile County,ALABAMA,AL,Mobile,AL,010237000898,0100898,30.6072,-88.0735,12
2023-2024,Baker High School,Mobile County,ALABAMA,AL,Mobile,AL,010237000899,0100899,30.6695,-88.2517,21
2023-2024,Mattie T Blount High School,Mobile County,ALABAMA,AL,Eight Mile,AL,010237000900,0100900,30.779186,-88.178953,41
2023-2024,Citronelle High School,Mobile County,ALABAMA,AL,Citronelle,AL,010237000906,0100906,31.095114,-88.237389,42
2023-2024,WP Davidson High School,Mobile County,ALABAMA,AL,Mobile,AL,010237000912,0100912,30.6628,-88.1465,12
2023-2024,Mary G Montgomery High School,Mobile County,ALABAMA,AL,Semmes,AL,010237000934,0100934,30.7803,-88.2785,41
2023-2024,Murphy High School,Mobile County,ALABAMA,AL,Mobile,AL,010237000942,0100942,30.6828,-88.0867,12
2023-2024,John L Leflore Magnet School,Mobile County,ALABAMA,AL,Mobile,AL,010237000962,0100962,30.7142,-88.0865,12
2023-2024,CF Vigor High School,Mobile County,ALABAMA,AL,Prichard,AL,010237000964,0100964,30.7432,-88.0807,21
2023-2024,Alma Bryant High School,Mobile County,ALABAMA,AL,Irvington,AL,010237000989,0100989,30.4421,-88.2802,41
2023-2024,TL Faulkner  School,Mobile County,ALABAMA,AL,Prichard,AL,010237001083,0101083,30.7406,-88.0823,21
2023-2024,George H Bryant VocationalAgricultural Center,Mobile County,ALABAMA,AL,Irvington,AL,010237001086,0101086,30.5047,-88.209,41
2023-2024,Continuous Learning Center,Mobile County,ALABAMA,AL,Mobile,AL,010237001686,0101686,30.7021,-88.0819,12
2023-2024,Theodore High School,Mobile County,ALABAMA,AL,Theodore,AL,010237001688,0101688,30.5446,-88.1857,21
2023-2024,Evening Educational Options,Mobile County,ALABAMA,AL,Mobile,AL,010237002177,0102177,30.628199,-88.085556,12
2023-2024,Citronelle Center for Advanced Technology,Mobile County,ALABAMA,AL,Citronelle,AL,010237002477,0102477,31.093364,-88.235874,42
2023-2024,Monroe County High School,Monroe County,ALABAMA,AL,Monroeville,AL,010240000973,0100973,31.484,-87.3339,41
2023-2024,Monroe County Careertechnical Center,Monroe County,ALABAMA,AL,Monroeville,AL,010240001094,0101094,31.4839,-87.334598,41
2023-2024,Booker T Washington Magnet High School,Montgomery County,ALABAMA,AL,Montgomery,AL,010243000504,0100504,32.321898,-86.199309,12
2023-2024,Carver Senior High School,Montgomery County,ALABAMA,AL,Montgomery,AL,010243001015,0101015,32.349264,-86.325149,12
2023-2024,Johnson Abernathy Graetz High School,Montgomery County,ALABAMA,AL,Montgomery,AL,010243001024,0101024,32.3432,-86.2626,12
2023-2024,Percy Julian High School,Montgomery County,ALABAMA,AL,Montgomery,AL,010243001035,0101035,32.378702,-86.271649,12
2023-2024,Lanier Senior High School,Montgomery County,ALABAMA,AL,Montgomery,AL,010243001036,0101036,32.3558,-86.3101,12
2023-2024,Loveless Academic Magnet Program High School,Montgomery County,ALABAMA,AL,Montgomery,AL,010243001417,0101417,32.331029,-86.247158,12
2023-2024,Brewbaker Technology Magnet High School,Montgomery County,ALABAMA,AL,Montgomery,AL,010243001457,0101457,32.323758,-86.219659,12
2023-2024,Park Crossing High School,Montgomery County,ALABAMA,AL,Montgomery,AL,010243002214,0102214,32.313749,-86.173342,41
2023-2024,Montgomery Preparatory Academy for Career Technologies,Montgomery County,ALABAMA,AL,Montgomery,AL,010243002413,0102413,32.329029,-86.245744,12
2023-2024,Danville High School,Morgan County,ALABAMA,AL,Danville,AL,010248001042,0101042,34.4168,-87.0935,42
2023-2024,Priceville High School,Morgan County,ALABAMA,AL,Decatur,AL,010248001048,0101048,34.550065,-86.896765,41
2023-2024,West Morgan High School,Morgan County,ALABAMA,AL,Trinity,AL,010248001052,0101052,34.5853,-87.0795,41
2023-2024,Morgan County Schools Technology Park,Morgan County,ALABAMA,AL,Somerville,AL,010248001121,0101121,34.413285,-86.705017,42
2023-2024,Albert P Brewer High School,Morgan County,ALABAMA,AL,Somerville,AL,010248001696,0101696,34.413285,-86.705017,42
2023-2024,Mountain Brook High School,Mountain Brook City,ALABAMA,AL,Mountain Brk,AL,010249001056,0101056,33.491317,-86.711931,21
2023-2024,Muscle Shoals High School,Muscle Shoals City,ALABAMA,AL,Muscle Shoals,AL,010252001062,0101062,34.743045,-87.646949,13
2023-2024,Muscle Shoals Career Academy,Muscle Shoals City,ALABAMA,AL,Muscle Shoals,AL,010252001382,0101382,34.741994,-87.643601,13
2023-2024,Oneonta High School,Oneonta City,ALABAMA,AL,Oneonta,AL,010255001064,0101064,33.933883,-86.497175,41
2023-2024,Opelika High School,Opelika City,ALABAMA,AL,Opelika,AL,010258001070,0101070,32.668149,-85.369438,13
2023-2024,Opp High School,Opp City,ALABAMA,AL,Opp,AL,010261001073,0101073,31.2886,-86.2395,41
2023-2024,Oxford High School,Oxford City,ALABAMA,AL,Oxford,AL,010263501075,0101075,33.611216,-85.831382,13
2023-2024,Oxford Area Vocational School,Oxford City,ALABAMA,AL,Oxford,AL,010263501384,0101384,33.611216,-85.831382,13
2023-2024,Carroll High School,Ozark City,ALABAMA,AL,Ozark,AL,010264001080,0101080,31.459527,-85.625957,32
2023-2024,Carroll High School Career Center,Ozark City,ALABAMA,AL,Ozark,AL,010264001386,0101386,31.461479,-85.629674,32
2023-2024,Pell City High School,Pell City,ALABAMA,AL,Pell City,AL,010265001573,0101573,33.583875,-86.294403,32
